ad_exchange,floor_price,count,proportion
1,0,8300306.0,1.0
2,1,15.0,9.58033287952361e-07
2,4,880615.0,0.05624389892467789
2,5,11658904.0,0.7446412088693956
2,6,2445.0,0.00015615942593623483
2,7,384.0,2.4525652171580442e-05
2,8,82228.0,0.005251810746783116
2,9,24.0,1.5328532607237776e-06
2,10,60.0,3.832133151809444e-06
2,11,524.0,3.346729619246914e-05
2,12,331.0,2.1140601220815433e-05
2,13,33356.0,0.002130410556862597
2,14,4.0,2.554755434539629e-07
2,15,6023.0,0.00038468229955580466
2,16,392592.0,0.025074413638919553
2,17,3.0,1.916066575904722e-07
2,18,900.0,5.748199727714166e-05
2,19,47.0,3.0018376355840644e-06
2,21,61.0,3.896002037672935e-06
2,22,155.0,9.899677308841064e-06
2,23,74158.0,0.004736388837864746
2,24,46918.0,0.002996600386943258
2,25,12832.0,0.0008195655434003131
2,26,24.0,1.5328532607237776e-06
2,27,178.0,1.136866168370135e-05
2,28,47.0,3.0018376355840644e-06
2,29,6.0,3.832133151809444e-07
2,30,5593.0,0.00035721867863450365
2,31,80545.0,0.005144319411874861
2,32,88373.0,0.005644285050414266
2,33,3861.0,0.0002465977683189377
2,34,17.0,1.0857710596793424e-06
2,35,14.0,8.941644020888703e-07
2,36,148.0,9.452595107796628e-06
2,37,177.0,1.130479279783786e-05
2,38,11479.0,0.0007331509408270101
2,39,172095.0,0.010991515912677437
2,40,1155.0,7.37685631723318e-05
2,41,25.0,1.5967221465872682e-06
2,43,4.0,2.554755434539629e-07
2,44,796.0,5.083963314733862e-05
2,45,3262.0,0.00020834030568670677
2,46,1017.0,6.495465692317008e-05
2,47,4653.0,0.0002971819259228224
2,48,247.0,1.577561480828221e-05
2,49,109.0,6.96170855912049e-06
2,50,10015.0,0.0006396468919228597
2,51,792.0,5.058415760388466e-05
2,52,78892.0,0.005038744143542511
2,53,99.0,6.323019700485582e-06
2,54,1145.0,7.312987431369689e-05
2,55,4585.0,0.000292838841684105
2,57,82.0,5.23724864080624e-06
2,58,16.0,1.0219021738158516e-06
2,59,343957.0,0.021968150374948682
2,60,59.0,3.768264265945953e-06
2,61,642.0,4.100382472436105e-05
2,62,49133.0,0.00313806996913089
2,63,29235.0,0.0018672068782191514
2,64,2363.0,0.00015092217729542859
2,65,186.0,1.1879612770609276e-05
2,66,10.0,6.386888586349074e-07
2,67,72553.0,0.004633879276053843
2,68,27.0,1.7244599183142497e-06
2,69,571.0,3.6469133828053205e-05
2,70,3469.0,0.00022156116506044933
2,71,17.0,1.0857710596793424e-06
2,72,29.0,1.8521976900412311e-06
2,73,54.0,3.4489198366284994e-06
2,74,12842.0,0.000820204232258948
2,75,27156.0,0.0017344234645089542
2,76,785.0,5.0137075402840226e-05
2,77,17773.0,0.0011351417084518207
