ad_exchange,paying_price,count,proportion
1,0,1.0,2.1496315531517897e-07
1,1,9575.0,0.0020582722121428388
1,2,11638.0,0.002501741201558053
1,3,4353.0,0.0009357346150869741
1,4,21257.0,0.0045694717925347595
1,5,10800.0,0.002321602077403933
1,6,6207.0,0.001334276305041316
1,7,13965.0,0.0030019604639764746
1,8,18112.0,0.0038934126690685217
1,9,17352.0,0.0037300406710289854
1,10,22739.0,0.004888047188711855
1,11,35051.0,0.007534673556952338
1,12,26950.0,0.005793257035744073
1,13,26278.0,0.005648801795372273
1,14,41339.0,0.008886361877574184
1,15,35592.0,0.0076509686239778505
1,16,50520.0,0.010859938606522842
1,17,86041.0,0.018495644846473314
1,18,41978.0,0.009023723333820583
1,19,43629.0,0.009378627503245944
1,20,41580.0,0.008938167998005142
1,21,44968.0,0.009666463168212968
1,22,31678.0,0.00680960283407424
1,23,34723.0,0.00746416564200896
1,24,43979.0,0.009453864607606256
1,25,38569.0,0.008290913937351138
1,26,23446.0,0.005040026139519686
1,27,30533.0,0.00656347002123836
1,28,23660.0,0.005086028254757135
1,29,28974.0,0.006228342462101996
1,30,22570.0,0.004851718415463589
1,31,46170.0,0.009924848880901813
1,32,21631.0,0.004649868012622636
1,33,20196.0,0.004341395884745355
1,34,43477.0,0.009345953103638036
1,35,16332.0,0.003510778252607503
1,36,31434.0,0.006757151824177336
1,37,35740.0,0.007682783170964496
1,38,28545.0,0.006136123268471784
1,39,13440.0,0.0028891048074360056
1,40,23343.0,0.005017884934522223
1,41,27524.0,0.005916645886894986
1,42,18438.0,0.00396349065770127
1,43,23226.0,0.004992734245350347
1,44,13952.0,0.002999165942957377
1,45,16970.0,0.0036479247456985874
1,46,26501.0,0.005696738579007558
1,47,23625.0,0.005078504544321103
1,48,19597.0,0.004212632954711562
1,49,23472.0,0.005045615181557881
1,50,20747.0,0.004459840583324018
1,51,93722.0,0.020146776842449206
1,52,24384.0,0.005241661579205324
1,53,29322.0,0.006303149640151678
1,54,13554.0,0.0029136106071419358
1,55,24889.0,0.00535021797263949
1,56,25371.0,0.005453830213501406
1,57,49911.0,0.010729026044935898
1,58,20233.0,0.004349349521492016
1,59,17917.0,0.0038514948537820616
1,60,57754.0,0.012414982072072847
1,61,67944.0,0.01460545662473452
1,62,23386.0,0.005027128350200776
1,63,27687.0,0.0059516848812113604
1,64,33235.0,0.007144300466899974
1,65,26383.0,0.005671372926680367
1,66,17292.0,0.003717142881710075
1,67,42512.0,0.009138513658758889
1,68,31620.0,0.006797134971065959
1,69,18108.0,0.003892552816447261
1,70,20496.0,0.004405884831339908
1,71,39127.0,0.008410863378017008
1,72,9609.0,0.002065580959423555
1,73,26378.0,0.005670298110903791
1,74,30664.0,0.006591630194584648
1,75,18851.0,0.0040522704408464385
1,76,112368.0,0.024154979836456033
1,77,13457.0,0.0028927591810763635
1,78,24448.0,0.005255419221145496
1,79,14286.0,0.003070963636832647
1,80,9917.0,0.00213178961126063
1,81,33838.0,0.007273923249555027
1,82,22126.0,0.00475627477450365
1,83,18830.0,0.00404775621458482
1,84,11796.0,0.0025357053800978513
1,85,36410.0,0.007826808485025667
1,86,16554.0,0.0035585000730874727
1,87,18988.0,0.004081720393124618
1,88,14722.0,0.003164687572550065
1,89,105801.0,0.02274331679550125
