user_tags,proportion
10063,0.1580712605627668
10006,0.132023695443854
10110,0.09674187647007579
13866,0.07234950779684642
10111,0.06398640996602492
10024,0.05266138165345413
10083,0.04042163951563725
10057,0.039637599093997736
10075,0.03763394023869675
10059,0.034976914365362835
13800,0.03227633069082673
10031,0.031927868281209165
10052,0.030795365449952088
14273,0.022998519034759125
10076,0.02147399599268229
13403,0.02073351337224497
13776,0.018163603101315446
13042,0.016726195661643
10077,0.013023782559456399
10093,0.012631762348636642
10048,0.011934837529401516
10079,0.00688213258994686
13678,0.005618956355083195
10074,0.0043557801202195314
10684,0.00418154891541075
10067,0.0037895287045909922
13496,0.003484624096175625
11944,0.0029619304817492813
10102,0.0021778900601097657
11576,0.0009582716264482969
16661,0.0009147138252461015
11379,0.0007404826204373203
16706,0.0005226936144263438
11724,0.00047913581322414845
11423,0.00039202021081975784
11092,0.0003484624096175625
16593,0.0002613468072131719
16617,0.0002613468072131719
11278,0.00021778900601097657
13874,0.00013067340360658594
11632,8.711560240439062e-05
11680,4.355780120219531e-05
